epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11973.6,1.3693,1.10015,1.28754,0.82638,0.65147,0.72733,0.41128,1.77416,1.17429,1.61712,0.00132868,0.00132868,0.00132868
43,12257,1.42791,1.12081,1.28216,0.73751,0.64702,0.6956,0.40035,1.72472,1.22822,1.5646,0.00132043,0.00132043,0.00132043
44,12539.8,1.39434,1.09233,1.28282,0.8571,0.66028,0.7194,0.4014,1.78531,1.19172,1.60946,0.00131218,0.00131218,0.00131218
45,12822.6,1.34923,1.06292,1.26356,0.81038,0.61854,0.67439,0.35985,1.81396,1.27577,1.57008,0.00130393,0.00130393,0.00130393
46,13107.7,1.39073,1.0964,1.29152,0.86428,0.64679,0.71431,0.40778,1.7555,1.24068,1.59176,0.00129568,0.00129568,0.00129568
47,13406.5,1.3743,1.06054,1.2828,0.79469,0.64461,0.693,0.38593,1.78368,1.22636,1.59084,0.00128742,0.00128742,0.00128742
48,13690,1.38698,1.11984,1.30934,0.84066,0.66165,0.72404,0.41142,1.75081,1.13898,1.5472,0.00127917,0.00127917,0.00127917
49,13977.8,1.36864,1.0874,1.28901,0.80907,0.63375,0.71027,0.39623,1.78055,1.25361,1.62031,0.00127092,0.00127092,0.00127092
50,14261.9,1.33458,1.07475,1.25096,0.80415,0.69222,0.71687,0.41322,1.76362,1.20437,1.59348,0.00126267,0.00126267,0.00126267
51,14545.5,1.3549,1.03177,1.26969,0.85157,0.60398,0.69999,0.39193,1.76015,1.20455,1.55377,0.00125442,0.00125442,0.00125442
52,14837.7,1.33222,1.02191,1.24689,0.83558,0.6255,0.71239,0.39946,1.71399,1.18759,1.54257,0.00124617,0.00124617,0.00124617
53,15131.6,1.36681,1.02498,1.24581,0.84925,0.65092,0.70065,0.38925,1.74788,1.26364,1.54851,0.00123791,0.00123791,0.00123791
